RecordID	RID	Squib	ReferenceReaction
39874	17129	http://kinetics.nist.gov/kinetics/Detail;jsessionid=6A7CB4678736019F967C6CA7684018D7?id=2004IAN/AND191-208:8	·OH + Cyclohexane-d → Products
39891	17139	http://kinetics.nist.gov/kinetics/Detail;jsessionid=BD5E8F8694A9CF3F0A23F551981A34B5?id=1965TAR/STR1946-1959:7	HC≡CBr + ·C2H → 1,3-Butadiyne + Br·
39892	17139	http://kinetics.nist.gov/kinetics/Detail;jsessionid=BD5E8F8694A9CF3F0A23F551981A34B5?id=1965TAR/STR18:7	HC≡CBr + ·C2H → 1,3-Butadiyne + Br·
39893	17140	http://kinetics.nist.gov/kinetics/Detail;jsessionid=A0A558D4A0AAF583598B08BE915152BD?id=1962GOR/SMI521:1	(CD3)2CO + CD3 → Other Products + CD4
39912	17146	http://kinetics.nist.gov/kinetics/Detail;jsessionid=73F2966F148C22B4E46C58E7487AC3D4?id=1985KOP/BAC610:22	Cyclopentane → Products
39913	17146	http://kinetics.nist.gov/kinetics/Detail;jsessionid=73F2966F148C22B4E46C58E7487AC3D4?id=1985KOP/BAC610:20	Methylcyclopentane → Products
39914	17146	http://kinetics.nist.gov/kinetics/Detail;jsessionid=73F2966F148C22B4E46C58E7487AC3D4?id=1985KOP/BAC610:21	1-C6H14 → Products
39915	17146	http://kinetics.nist.gov/kinetics/Detail;jsessionid=73F2966F148C22B4E46C58E7487AC3D4?id=1979KAL/NAM32:3	C2H6 → Products
39916	17146	http://kinetics.nist.gov/kinetics/Detail;jsessionid=73F2966F148C22B4E46C58E7487AC3D4?id=1979KAL/NAM32:4	1-C6H14 → Products
39917	17146	http://kinetics.nist.gov/kinetics/Detail;jsessionid=73F2966F148C22B4E46C58E7487AC3D4?id=1979KAL/NAM32:5	Cyclopentane → Products
39927	17152	http://kinetics.nist.gov/kinetics/Detail;jsessionid=68BF979C4CBDCEA9126098A56247E6DD?id=1996STE/KIN2114-2116:4	n-C6H13OH + ·OH → Products
39932	17155	http://kinetics.nist.gov/kinetics/Detail;jsessionid=9A87E6B2884AB266D62AEE4AE0ACB98B?id=2006WAL/HUR57-61:5	C2H5Cl + ·Cl → Products
39933	17155	http://kinetics.nist.gov/kinetics/Detail;jsessionid=9A87E6B2884AB266D62AEE4AE0ACB98B?id=2006WAL/HUR57-61:6	C2H2 + ·Cl → Products
39940	17161	http://kinetics.nist.gov/kinetics/Detail;jsessionid=8C3741B159810C0C02EE2F10D340F6BA?id=1999WEN/POR1197-1204:4	 → 
39941	17162	http://kinetics.nist.gov/kinetics/Detail;jsessionid=59CA9AE62B47ACE1D214C18C0DA2AB64?id=1999WEN/POR1197-1204:3	 → 
39947	17166	http://kinetics.nist.gov/kinetics/Detail;jsessionid=46E0C886A89CF41A4352D3840D5931D0?id=2010MAS/ARE707-713:1	(n-C4H9)2O + ·OH → Products
39956	17167	http://kinetics.nist.gov/kinetics/Detail;jsessionid=ACFCF91A246CA95B24191B44B1DFB55C?id=2008IWA/NAK1741-1746:3	C3H8 + ·Cl → Products
39957	17167	http://kinetics.nist.gov/kinetics/Detail;jsessionid=ACFCF91A246CA95B24191B44B1DFB55C?id=2005ROD/ROD3433-3440:3	1-C4H8 + ·Cl → Products
39958	17167	http://kinetics.nist.gov/kinetics/Detail;jsessionid=ACFCF91A246CA95B24191B44B1DFB55C?id=2005ROD/ROD3433-3440:2	CH3CH=CH2 + ·Cl → Products
39959	17167	http://kinetics.nist.gov/kinetics/Detail;jsessionid=ACFCF91A246CA95B24191B44B1DFB55C?id=2005ROD/ROD3433-3440:1	C2H6 + ·Cl → Products
